filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0,ticker,filedateobj,prevfiledateobj,nextfiledateobj,stockprice0,stockprice1,stockpricefuture,marketprice0,marketprice1,marketpricefuture,stockreturn0,stockreturnfuture,marketreturn0,marketreturnfuture,beatmarket0,beatmarketfuture
1/30/2015,10/31/2014,4/29/2015,0.987852864,0.973833703,0.963574123,0.980021235,0.99248004,0.976643493,0.957318149,0.98124478,145,146,507,157,158,538,588,1460,495,514,996,1026,1950,980,998,34355,34914,70119,34156,36035,RMD,1/30/2015,10/31/2014,4/29/2015,62.47,52.22,64.09,1994.98999,2018.050049,2106.850098,0.179220878,0.025601904,-0.01149269,0.054554955,TRUE,FALSE
1/30/2015,11/3/2014,4/30/2015,0.692802817,0.96603808,0.950048252,0.978487889,0.8095319,0.974941095,0.958086957,0.984090249,917,587,1245,378,472,1463,1743,3274,1252,1515,3046,1828,3555,1770,2241,75002,62263,127552,51965,61920,STX,1/30/2015,11/3/2014,4/30/2015,56.44,64.17,58.72,1994.98999,2017.810059,2085.51001,-0.128357685,0.039602257,-0.011373761,0.044374402,FALSE,FALSE
1/30/2015,11/14/2014,5/5/2015,0.719177152,0.933773994,0.925903717,0.937276524,0.77550535,0.949797404,0.942507151,0.95015094,444,170,187,636,272,1362,438,584,1654,777,4678,883,1080,2593,1483,77854,38078,45936,100066,45945,TDG,1/30/2015,11/14/2014,5/5/2015,205.53,192.45,214.93,1994.98999,2039.819946,2089.459961,0.065755629,0.044720385,-0.022222509,0.046266608,TRUE,FALSE
1/30/2015,11/17/2014,5/4/2015,0.96941612,0.961046294,0.962877575,0.866896762,0.976615076,0.96417948,0.967925638,0.924850316,395,521,460,1859,502,1608,1870,1886,3559,1397,2081,2271,2111,4197,1980,56580,62962,64869,142072,66432,TSN,1/30/2015,11/17/2014,5/4/2015,39.04,43.03,41.09,1994.98999,2041.319946,2114.48999,-0.097310785,0.051178021,-0.022957598,0.058174611,FALSE,FALSE
1/30/2015,10/27/2014,5/13/2015,0.973917674,0.959733733,0.978826772,0.979042441,0.982812257,0.961910147,0.983485517,0.983743813,470,818,451,479,474,1523,2559,1422,1346,1438,1540,2864,1430,1400,1467,56108,104387,54756,57867,59620,XLNX,1/30/2015,10/27/2014,5/13/2015,38.575,43.12,43.73,1994.98999,1961.630005,2098.47998,-0.111382528,0.125429967,0.01686327,0.050574231,FALSE,TRUE
2/2/2015,11/24/2014,5/1/2015,0.881219291,0.963637686,0.963037573,0.653055087,0.924369866,0.970478298,0.96964139,0.670514352,463,348,358,1105,316,1191,641,680,1653,514,1895,1277,1327,2071,1071,43423,30850,34170,71773,29761,JEC,2/2/2015,11/24/2014,5/1/2015,39.85,47.51,42.75,2020.849976,2069.409912,2108.290039,-0.17581781,0.07024679,-0.023745297,0.042359008,FALSE,TRUE
2/2/2015,10/22/2014,4/29/2015,0.971993695,0.928997672,0.91616138,0.923058162,0.980458547,0.93038975,0.924652146,0.92420076,2023,357,447,399,1522,2839,753,1047,836,2403,3858,1271,1653,1410,3786,117686,31892,40526,34528,105378,NOC,2/2/2015,10/22/2014,4/29/2015,159.19,125.11,159.14,2020.849976,1927.109985,2106.850098,0.240905107,-0.000314139,0.04749674,0.041675784,TRUE,FALSE
2/2/2015,11/25/2014,2/4/2015,0.06360952,0.093562895,0.089226965,0.133872535,0.161888647,0.225908248,0.210758065,0.294694729,304,412,208,820,143,478,720,710,2643,206,1128,2118,1124,3400,127,28571,39621,29693,96923,11094,SWKS,2/2/2015,11/25/2014,2/4/2015,82.02,65.47,82.3,2020.849976,2067.030029,2041.51001,0.225371098,0.003407988,-0.022594605,0.010171532,TRUE,FALSE
2/3/2015,11/5/2014,5/5/2015,0.969548926,0.956156912,0.948024002,0.959935109,0.974950309,0.962726627,0.948089479,0.959880582,222,275,775,369,349,1096,1225,2713,1408,1312,1277,1418,2908,1909,1423,39327,42155,103275,47956,45118,CAH,2/3/2015,11/5/2014,5/5/2015,83.42,78.91,84.57,2050.030029,2023.569946,2089.459961,0.055580126,0.013691505,0.01299119,0.019051199,TRUE,FALSE
2/3/2015,11/19/2014,5/5/2015,0.981010295,0.95608851,0.959086723,0.953225378,0.986691106,0.959926032,0.963090366,0.951956884,451,550,549,1783,458,926,1132,1161,2377,850,1261,1377,1367,2907,1262,43948,51627,52111,125646,47585,DIS,2/3/2015,11/19/2014,5/5/2015,94.1,89.82,110.81,2050.030029,2048.719971,2089.459961,0.046550379,0.163458976,0.000639248,0.019051199,TRUE,TRUE
2/3/2015,11/3/2014,4/30/2015,0.435683521,0.962937724,0.953448848,0.9771193,0.525676736,0.966527019,0.954327818,0.978065283,2893,647,1145,607,691,8030,1374,2190,1244,1371,13719,1523,2492,1402,1629,222063,60168,104849,54032,58407,LRCX,2/3/2015,11/3/2014,4/30/2015,77.63,79.14,75.58,2050.030029,2017.810059,2085.51001,-0.019264486,-0.026762252,0.015841647,0.017158993,FALSE,FALSE
2/3/2015,11/10/2014,5/27/2015,0.762771251,0.8799274,0.969624604,0.973339774,0.849338722,0.869184134,0.971822076,0.975052061,715,1414,395,429,449,1342,4206,1284,1421,1506,2147,5479,1337,1440,1486,65318,151028,55310,61705,65731,MCHP,2/3/2015,11/10/2014,5/27/2015,45.585,43.49,48.5,2050.030029,2038.26001,2123.47998,0.047047688,0.061985083,0.005757934,0.035201802,TRUE,TRUE
2/3/2015,11/4/2014,5/5/2015,0.8685348,0.932667955,0.915623984,0.945519343,0.918105592,0.948853311,0.920579309,0.95890083,1071,731,1971,498,688,2045,1022,2227,798,1180,3661,1222,2751,1188,2196,85166,53237,126545,48150,65023,SYY,2/3/2015,11/4/2014,5/5/2015,39.54,37.36,36.12,2050.030029,2012.099976,2089.459961,0.056712204,-0.090466089,0.0186755,0.019051199,TRUE,FALSE
2/4/2015,10/22/2014,4/24/2015,0.981579878,0.947456167,0.947066863,0.947252557,0.98979034,0.956554428,0.950472936,0.950066465,2305,891,890,922,2079,3530,1676,1516,1504,2857,3825,1993,1726,1702,3140,161208,69094,65824,66372,146450,BIIB,2/4/2015,10/22/2014,4/24/2015,391.12,309.07,401.71,2041.51001,1927.109985,2117.689941,0.23544663,0.026716017,0.057668271,0.036636109,TRUE,FALSE
2/4/2015,10/21/2014,4/22/2015,0.99001996,0.937592269,0.93462248,0.936784772,0.995462837,0.953210033,0.951351693,0.951358819,587,101,115,115,606,1212,294,319,284,1167,1463,593,700,595,1385,56283,18102,19438,18215,56856,CMG,2/4/2015,10/21/2014,4/22/2015,676,607.55,641.23,2041.51001,1941.280029,2107.959961,0.1067586,-0.052804869,0.050342171,0.032030902,TRUE,FALSE
2/4/2015,11/4/2014,5/21/2015,0.931911158,0.963729015,0.054157898,0.963172102,0.933301443,0.963860017,0.138060734,0.962646726,1418,637,66,632,611,3754,1746,353,1807,1849,4043,1899,539,1739,1757,143951,76372,11170,77141,78533,EA,2/4/2015,11/4/2014,5/21/2015,54.555,40.64,62.69,2041.51001,2012.099976,2130.820068,0.294456564,0.138992578,0.014510794,0.042817179,TRUE,TRUE
2/4/2015,11/19/2014,5/6/2015,0.98169944,0.974234557,0.974888725,0.950471368,0.989355687,0.981777241,0.981792032,0.949426149,279,271,270,1194,275,716,633,718,1762,670,861,763,801,1992,764,26007,25845,27395,80748,24938,EMR,2/4/2015,11/19/2014,5/6/2015,57.33,64.15,58.22,2041.51001,2048.719971,2080.149902,-0.112400044,0.015404891,-0.003525459,0.018750224,FALSE,FALSE
2/4/2015,10/23/2014,4/23/2015,0.972997456,0.911123248,0.913040534,0.918019008,0.984620995,0.934993949,0.935377958,0.93714539,2868,528,683,617,2153,4962,2187,2768,2479,5162,5138,1825,2157,1938,4108,194375,60339,68661,66200,172218,GM,2/4/2015,10/23/2014,4/23/2015,35.83,30.93,35.92,2041.51001,1950.819946,2112.929932,0.147058945,0.002508712,0.045439966,0.034385843,TRUE,FALSE
2/4/2015,10/23/2014,4/23/2015,0.986989519,0.966226201,0.858409293,0.960728978,0.99231472,0.969585274,0.864810932,0.96122578,677,240,550,254,652,2771,1276,2417,1421,2320,2806,1583,3829,1569,2637,96693,51035,86205,53514,94863,PHM,2/4/2015,10/23/2014,4/23/2015,21.59,19.51,19.97,2041.51001,1950.819946,2112.929932,0.10130309,-0.077999097,0.045439966,0.034385843,TRUE,FALSE
2/4/2015,10/30/2014,5/15/2015,0.98006216,0.941590037,0.960531932,0.960782761,0.986272952,0.936507097,0.963058144,0.962012132,775,1396,580,655,646,1904,2949,1367,1440,1512,1986,2990,1668,1854,1832,78924,134446,63426,69969,72441,RL,2/4/2015,10/30/2014,5/15/2015,139.71,166.11,133.11,2041.51001,1994.650024,2122.72998,-0.173081374,-0.048392992,0.023221127,0.039013252,FALSE,FALSE
2/4/2015,2/2/2015,5/6/2015,0.73729631,0.901212478,0.871746675,0.166968741,0.810021254,0.911926074,0.894030021,0.330203024,412,208,820,143,482,720,710,2643,206,1337,2118,1124,3400,127,2030,39621,29693,96923,11094,44452,SWKS,2/4/2015,2/2/2015,5/6/2015,82.3,82.02,94.57,2041.51001,2020.849976,2080.149902,0.003407988,0.138969193,0.010171532,0.018750224,FALSE,TRUE
2/5/2015,10/30/2014,5/6/2015,0.979260073,0.960668013,0.940059515,0.969619536,0.987312342,0.968279651,0.935191995,0.974001963,504,518,1446,469,491,1123,1215,2332,1133,1289,1141,1179,2972,1200,1230,49723,51675,108563,50723,54677,ADP,2/5/2015,10/30/2014,5/6/2015,87.17,78.95,85.41,2062.52002,1994.650024,2080.149902,0.099045494,-0.020397045,0.033459937,0.008511414,TRUE,FALSE
2/5/2015,11/3/2014,5/4/2015,0.952468154,0.945568898,0.933054858,0.964184439,0.962946246,0.956701592,0.937891316,0.968240491,411,400,1558,423,572,763,821,2562,1243,1728,1150,1154,3236,1275,2059,33545,34582,110085,36503,48057,CLX,2/5/2015,11/3/2014,5/4/2015,108.05,99.83,106.51,2062.52002,2017.810059,2114.48999,0.079125344,-0.014355205,0.021915752,0.024885098,TRUE,FALSE
2/5/2015,10/23/2014,4/23/2015,0.977414987,0.937631448,0.939564246,0.940495125,0.987282916,0.943949369,0.946523806,0.949207016,1773,314,391,432,1699,2996,1189,1122,1130,2944,4706,1809,1825,1966,4536,161785,47915,51429,53617,163426,CMS,2/5/2015,10/23/2014,4/23/2015,37.32,31.93,35.01,2062.52002,1950.819946,2112.929932,0.155983369,-0.063895641,0.055678777,0.024147032,TRUE,FALSE
2/5/2015,11/6/2014,5/7/2015,0.897051398,0.907953975,0.943785641,0.967309585,0.929450728,0.952436857,0.956304302,0.976409879,265,649,1720,395,459,628,1975,2773,1355,1436,888,2464,3048,1644,1665,33720,82174,116427,54157,59320,COTY,2/5/2015,11/6/2014,5/7/2015,21.24,17.93,24.68,2062.52002,2031.209961,2088,0.169410909,0.150107003,0.01529689,0.012278124,TRUE,TRUE
